0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.76,0.76,0.76,0.75,0.76,0.75,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.75,0.75,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.75,0.75,0.76,0.75,0.75,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.77,0.82,0.89,0.99,1.1,1.22,1.37,1.51,1.68,1.82,1.96,2.09,2.2,2.29,2.36,2.4,2.43,2.42,2.39,2.34,2.27,2.18,2.08,1.97,1.83,1.71,1.59,1.46,1.34,1.23,1.15,1.08,1.02,0.99,0.98,0.99,1.02,1.08,1.15,1.23,1.32,1.43,1.54,1.65,1.76,1.86,1.96,2.04,2.11,2.16,2.2,2.23,2.23,2.2,2.18,2.12,2.06,1.99,1.9,1.81,1.72,1.62,1.52,1.44,1.36,1.28,1.23,1.2,1.17,1.16,1.17,1.2,1.24,1.29,1.35,1.42,1.5,1.58,1.66,1.74,1.82,1.89,1.94,2,2.03,2.07,2.07,2.06,2.06,2.02,1.99,1.93,1.88,1.82,1.76,1.69,1.62,1.56,1.49,1.43,1.39,1.36,1.33,1.32,1.32,1.33,1.34,1.38,1.42,1.47,1.51,1.57,1.63,1.68,1.73,1.79,1.84,1.87,1.89,1.91,1.91,1.93,1.91,1.89,1.87,1.83,1.79,1.75,1.7,1.66,1.62,1.58,1.54,1.51,1.49,1.47,1.46,1.46,1.47,1.48,1.49,1.51,1.54,1.57,1.6,1.63,1.66,1.69,1.72,1.75,1.76,1.78,1.8,1.8,1.8,1.81,1.79,1.79,1.76,1.76,1.74,1.71,1.7,1.67,1.65,1.64,1.62,1.6,1.59,1.59,1.58,1.58,1.58,1.59,1.59,1.6,1.61,1.61,1.63,1.64,1.65,1.66,1.68,1.68,1.69,1.7,1.7,1.7,1.71,1.7,1.7,1.7,1.69,1.68,1.67,1.68,1.67,1.67,1.66,1.66,1.65,1.65,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.67,1.67,1.67,1.66,1.67,1.66,1.66,1.66,1.67,1.67,1.67,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.67,1.66,1.66,1.66,1.66,1.66,1.66,1.67,1.66,1.66,1.66,1.66,1.66,1.67,1.67,1.66,1.67,1.67,1.66,1.67,1.67,1.66,1.66,1.66,1.65,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.67,1.66,1.66,1.66,1.66,1.66,1.67,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.67,1.66,1.66,1.67,1.66,1.66,1.66,1.66,1.67,1.67,1.66,1.66,1.66,1.67,1.67,1.66,1.66,1.66,1.66,1.67,1.65,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.67,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.67,1.66,1.67,1.66,1.66,1.67,1.67,1.66,1.66,1.66,1.66,1.67,1.67,1.67,1.66,1.67,1.66,1.66,1.66,1.67,1.66,1.66,1.65,1.67,1.66,1.66,1.66,1.66,1.67,1.67,1.66,1.67,1.67,1.66,1.67,1.66,1.66,1.67,1.66,1.66,1.67,1.66,1.66,1.66,1.66,1.66,1.67,1.66,1.66,1.66,1.66,1.66,1.67,1.67,1.66,1.67,1.66,1.67,1.66,1.66,1.65,1.66,1.66,1.67,1.66,1.66,1.66,1.66,1.66,1.67,1.67,1.66,1.66,1.66,1.66,1.66,1.67,1.66,1.66,1.67,1.67,1.67,1.67,1.67,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.67,1.66,1.67,1.66,1.66,1.66,1.66,1.67,1.67,1.67,1.66,1.68,1.67;
1,21,41,61,81,101,121,141,161,181,201,221,241,261,281,301,321,341,361,381,401,421,441,461,481,501,521,541,561,581,601,621,641,661,681,701,721,741,761,781,801,821,841,861,881,901,921,941,961,981,1001,1042,1062,1082,1102,1122,1142,1162,1182,1202,1222,1242,1262,1282,1302,1322,1342,1362,1382,1402,1422,1442,1462,1482,1502,1522,1542,1562,1582,1602,1622,1642,1662,1682,1702,1722,1742,1762,1782,1802,1822,1842,1862,1882,1902,1922,1942,1962,1982,2002,2022,2042,2062,2082,2102,2122,2142,2162,2182,2202,2222,2242,2262,2282,2302,2322,2342,2362,2382,2402,2422,2442,2462,2482,2502,2522,2542,2562,2582,2602,2622,2642,2662,2682,2702,2722,2742,2762,2782,2802,2822,2842,2862,2882,2902,2922,2942,2962,2982,3002,3022,3042,3062,3082,3102,3122,3142,3162,3182,3202,3222,3242,3262,3282,3302,3322,3342,3362,3382,3402,3422,3442,3462,3482,3502,3522,3542,3562,3582,3602,3622,3642,3662,3682,3702,3722,3742,3762,3782,3802,3822,3842,3862,3882,3902,3922,3942,3962,3982,4002,4022,4042,4062,4082,4102,4122,4142,4162,4182,4202,4222,4242,4262,4282,4302,4322,4342,4362,4382,4402,4422,4442,4462,4482,4502,4522,4542,4562,4582,4602,4622,4642,4662,4682,4702,4722,4742,4762,4782,4802,4822,4842,4862,4882,4902,4922,4942,4962,4982,5002,5022,5042,5062,5082,5102,5122,5142,5162,5182,5202,5222,5242,5262,5282,5302,5322,5342,5362,5382,5402,5422,5442,5462,5482,5502,5522,5542,5562,5582,5602,5622,5642,5662,5682,5702,5722,5742,5762,5782,5802,5822,5842,5862,5882,5902,5922,5942,5962,5982,6002,6022,6042,6062,6082,6102,6122,6142,6162,6182,6202,6222,6242,6262,6282,6302,6322,6342,6362,6382,6402,6422,6442,6462,6482,6502,6522,6542,6562,6582,6602,6622,6642,6662,6682,6702,6722,6742,6762,6782,6802,6822,6842,6862,6882,6902,6922,6942,6962,6982,7002,7022,7042,7062,7082,7102,7122,7142,7162,7182,7202,7222,7242,7262,7282,7302,7322,7342,7362,7382,7402,7422,7442,7462,7482,7502,7522,7542,7562,7582,7602,7622,7642,7662,7682,7702,7722,7742,7762,7782,7802,7822,7842,7862,7882,7902,7922,7942,7962,7982,8002,8022,8042,8062,8082,8102,8122,8142,8162,8182,8202,8222,8242,8262,8282,8302,8322,8342,8362,8382,8402,8422,8442,8462,8482,8502,8522,8542,8562,8582,8602,8622,8642,8662,8682,8702,8722,8742,8762,8782,8802,8822,8842,8862,8882,8902,8922,8942,8962,8982,9002,9022,9042,9062,9082,9102,9122,9142,9162,9182,9202,9222,9242,9262,9282,9302,9322,9342,9362,9382,9402,9422,9442,9462,9482,9502,9522,9542,9562,9582,9602,9622,9642,9662,9682,9702,9722,9742,9762,9782,9802,9822,9842,9862,9882,9902,9922,9942,9962,9982,10002;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.92,0.92,0.92,0.93,0.93,0.92,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.93,0.92,0.93,0.93,0.93,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.94,0.98,1.03,1.11,1.21,1.31,1.42,1.55,1.67,1.79,1.9,2,2.09,2.16,2.21,2.25,2.26,2.25,2.21,2.17,2.11,2.05,1.96,1.87,1.78,1.68,1.58,1.49,1.39,1.32,1.25,1.21,1.16,1.15,1.15,1.17,1.21,1.24,1.31,1.37,1.45,1.52,1.61,1.7,1.78,1.86,1.92,1.98,2.02,2.06,2.07,2.09,2.07,2.05,2.01,1.98,1.92,1.86,1.79,1.72,1.66,1.58,1.51,1.47,1.41,1.37,1.32,1.32,1.31,1.31,1.33,1.35,1.39,1.43,1.49,1.54,1.6,1.65,1.71,1.76,1.81,1.86,1.89,1.92,1.92,1.93,1.93,1.91,1.89,1.86,1.81,1.78,1.73,1.69,1.64,1.6,1.56,1.52,1.5,1.48,1.46,1.45,1.44,1.45,1.47,1.49,1.51,1.53,1.58,1.61,1.64,1.67,1.7,1.74,1.76,1.78,1.8,1.81,1.82,1.82,1.81,1.8,1.79,1.77,1.76,1.74,1.71,1.69,1.67,1.64,1.61,1.6,1.58,1.57,1.56,1.55,1.55,1.56,1.56,1.57,1.58,1.6,1.61,1.62,1.64,1.66,1.67,1.69,1.71,1.71,1.71,1.72,1.73,1.72,1.73,1.72,1.71,1.7,1.7,1.69,1.67,1.67,1.66,1.65,1.65,1.64,1.65,1.64,1.63,1.64,1.64,1.65,1.64,1.65,1.65,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.65,1.66,1.66,1.66,1.66,1.66,1.65,1.66,1.65,1.66,1.65,1.66,1.65,1.66,1.66,1.65,1.65,1.66,1.66,1.66,1.65,1.66,1.66,1.65,1.65,1.66,1.66,1.66,1.66,1.66,1.65,1.66,1.66,1.65,1.66,1.65,1.65,1.66,1.66,1.64,1.66,1.66,1.65,1.65,1.66,1.65,1.66,1.65,1.65,1.64,1.66,1.66,1.66,1.65,1.65,1.66,1.65,1.66,1.66,1.65,1.65,1.65,1.66,1.66,1.66,1.66,1.66,1.66,1.65,1.66,1.66,1.66,1.66,1.65,1.65,1.65,1.66,1.65,1.65,1.65,1.66,1.65,1.66,1.66,1.66,1.66,1.65,1.66,1.65,1.66,1.66,1.66,1.65,1.65,1.66,1.66,1.66,1.65,1.66,1.66,1.65,1.66,1.66,1.65,1.65,1.66,1.66,1.65,1.65,1.66,1.66,1.66,1.66,1.65,1.65,1.66,1.66,1.65,1.65,1.66,1.66,1.66,1.64,1.67,1.65,1.66,1.65,1.64,1.65,1.65,1.66,1.66,1.65,1.65,1.65,1.66,1.66,1.65,1.65,1.66,1.65,1.65,1.65,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.65,1.65,1.66,1.66,1.66,1.66,1.65,1.66,1.65,1.66,1.66,1.65,1.65,1.65,1.65,1.65,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.65,1.65,1.66,1.66,1.66,1.66,1.66,1.65,1.65,1.66,1.66,1.65,1.66,1.65,1.65,1.65,1.66,1.65,1.65,1.65,1.65,1.65,1.66,1.66,1.66,1.66,1.66,1.66,1.65,1.66,1.65,1.66,1.65,1.65,1.66,1.65,1.66,1.66,1.66,1.66,1.65,1.65,1.65,1.65,1.66,1.66,1.66,1.66,1.65,1.65,1.66,1.66,1.65,1.66,1.66,1.65,1.65,1.65,1.66,1.66,1.66,1.66,1.65,1.66,1.66,1.65,1.66,1.66,1.65,1.66,1.65,1.65,1.65,1.65,1.67,1.65,1.65,1.65,1.66,1.66,1.66,1.65,1.65,1.66,1.66;
1,21,41,61,81,101,121,141,161,181,201,221,241,261,281,301,321,341,361,381,401,421,441,461,481,501,521,541,561,581,601,621,641,661,681,701,721,741,761,781,801,821,841,861,881,901,921,941,961,981,1001,1021,1041,1061,1081,1101,1121,1141,1161,1181,1201,1221,1241,1261,1281,1301,1321,1341,1361,1381,1401,1421,1441,1461,1481,1501,1521,1541,1561,1581,1601,1621,1641,1661,1681,1701,1721,1741,1761,1781,1801,1821,1841,1861,1881,1901,1921,1941,1961,1981,2001,2021,2041,2061,2081,2101,2121,2141,2161,2181,2201,2221,2241,2261,2281,2301,2321,2341,2361,2381,2401,2421,2441,2461,2481,2501,2521,2541,2561,2581,2601,2621,2641,2661,2681,2701,2721,2741,2761,2781,2801,2821,2841,2861,2881,2901,2921,2941,2961,2981,3001,3021,3041,3061,3081,3101,3121,3141,3161,3181,3201,3221,3241,3261,3281,3301,3321,3341,3361,3381,3401,3421,3441,3461,3481,3501,3521,3541,3561,3581,3601,3621,3641,3661,3681,3701,3721,3741,3761,3781,3801,3821,3841,3861,3881,3901,3921,3941,3961,3981,4001,4021,4041,4061,4081,4101,4121,4141,4161,4181,4201,4221,4241,4261,4281,4301,4321,4341,4361,4381,4401,4421,4441,4461,4481,4501,4521,4541,4561,4581,4601,4621,4641,4661,4681,4701,4721,4741,4761,4781,4801,4821,4841,4861,4881,4901,4921,4941,4961,4981,5001,5021,5041,5061,5081,5101,5121,5141,5161,5181,5201,5221,5241,5261,5281,5301,5321,5341,5361,5381,5401,5421,5441,5461,5481,5501,5521,5541,5561,5581,5601,5621,5641,5661,5681,5701,5721,5741,5761,5781,5801,5821,5841,5861,5881,5901,5921,5941,5961,5981,6001,6021,6041,6061,6081,6101,6121,6141,6161,6181,6201,6221,6241,6261,6281,6301,6321,6341,6361,6381,6401,6421,6441,6461,6481,6501,6521,6541,6561,6581,6601,6621,6641,6661,6681,6701,6721,6741,6761,6781,6801,6821,6841,6861,6881,6901,6921,6941,6961,6981,7001,7021,7041,7061,7081,7101,7121,7141,7161,7181,7201,7221,7241,7261,7281,7301,7321,7341,7361,7381,7401,7421,7441,7461,7481,7501,7521,7541,7561,7581,7601,7621,7641,7661,7681,7701,7721,7741,7761,7781,7801,7821,7841,7861,7881,7901,7921,7941,7961,7981,8001,8021,8041,8061,8081,8101,8121,8141,8161,8181,8201,8221,8241,8261,8281,8301,8321,8341,8361,8381,8401,8421,8441,8461,8481,8501,8521,8541,8561,8581,8601,8621,8641,8661,8681,8701,8721,8741,8761,8781,8801,8821,8841,8861,8881,8901,8921,8941,8961,8981,9001,9021,9041,9061,9081,9101,9121,9141,9161,9181,9201,9221,9241,9261,9281,9301,9321,9341,9361,9381,9401,9421,9441,9461,9481,9501,9521,9541,9561,9581,9601,9621,9641,9661,9681,9701,9721,9741,9761,9781,9801,9821,9841,9861,9881,9901,9921,9941,9961,9981;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.94,0.94,0.94,0.95,0.95,0.95,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.93,0.93,0.93,0.92,0.92,0.95,0.99,1.05,1.13,1.22,1.34,1.46,1.58,1.7,1.82,1.94,2.03,2.11,2.18,2.25,2.28,2.28,2.27,2.25,2.19,2.14,2.07,1.98,1.88,1.78,1.68,1.58,1.48,1.38,1.3,1.23,1.18,1.14,1.11,1.12,1.14,1.16,1.21,1.27,1.35,1.42,1.51,1.6,1.69,1.78,1.86,1.93,1.99,2.05,2.09,2.1,2.11,2.1,2.07,2.05,2,1.94,1.89,1.82,1.76,1.67,1.6,1.52,1.47,1.41,1.36,1.31,1.3,1.29,1.29,1.3,1.32,1.36,1.4,1.46,1.51,1.57,1.63,1.7,1.76,1.81,1.87,1.89,1.92,1.94,1.95,1.94,1.93,1.91,1.86,1.83,1.8,1.75,1.7,1.65,1.6,1.55,1.51,1.49,1.45,1.43,1.42,1.42,1.43,1.44,1.48,1.5,1.51,1.57,1.6,1.64,1.67,1.7,1.75,1.77,1.8,1.81,1.83,1.83,1.83,1.83,1.82,1.81,1.79,1.76,1.75,1.71,1.68,1.65,1.63,1.61,1.58,1.57,1.56,1.56,1.53,1.53,1.55,1.55,1.57,1.58,1.6,1.6,1.63,1.64,1.66,1.67,1.7,1.71,1.73,1.74,1.74,1.75,1.74,1.73,1.73,1.72,1.71,1.7,1.69,1.67,1.66,1.65,1.64,1.64,1.63,1.63,1.62,1.62,1.63,1.63,1.63,1.64,1.64,1.65,1.65,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.67,1.66,1.65,1.65,1.65,1.65,1.65,1.66,1.65,1.65,1.66,1.65,1.65,1.66,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.66,1.66,1.66,1.65,1.65,1.65,1.65,1.66,1.65,1.66,1.66,1.66,1.66,1.66,1.65,1.66,1.67,1.66,1.65,1.66,1.65,1.66,1.66,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.66,1.65,1.66,1.66,1.66,1.65,1.65,1.66,1.66,1.66,1.65,1.66,1.66,1.66,1.66,1.65,1.66,1.66,1.65,1.65,1.65,1.67,1.65,1.65,1.65,1.66,1.65,1.65,1.66,1.65,1.65,1.66,1.65,1.65,1.65,1.66,1.65,1.66,1.65,1.66,1.66,1.66,1.65,1.65,1.65,1.66,1.66,1.66,1.66,1.65,1.66,1.66,1.66,1.66,1.66,1.65,1.65,1.65,1.66,1.66,1.65,1.66,1.65,1.65,1.65,1.66,1.65,1.65,1.66,1.65,1.65,1.65,1.66,1.65,1.66,1.65,1.66,1.65,1.65,1.65,1.65,1.65,1.66,1.65,1.65,1.65,1.65,1.66,1.66,1.65,1.65,1.65,1.66,1.65,1.66,1.65,1.66,1.65,1.66,1.66,1.66,1.65,1.65,1.65,1.66,1.66,1.66,1.65,1.66,1.65,1.66,1.65,1.65,1.66,1.64,1.65,1.65,1.65,1.65,1.65,1.66,1.66,1.65,1.65,1.66,1.66,1.65,1.65,1.65,1.66,1.65,1.65,1.66,1.65,1.66,1.66,1.65,1.65,1.65,1.66,1.65,1.66,1.66,1.65,1.66,1.66,1.65,1.65,1.66,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.66,1.65,1.66,1.65,1.65,1.66,1.66,1.65,1.67,1.65,1.65,1.66,1.65,1.65,1.65,1.65,1.66,1.66,1.65,1.65,1.65,1.66,1.65,1.65,1.65,1.65,1.66,1.65,1.65,1.65,1.66,1.66,1.65,1.66,1.65,1.66,1.65,1.66,1.65,1.65,1.65,1.66,1.66,1.65,1.66,1.65,1.66,1.65,1.65,1.65,1.65,1.65,1.65,1.66,1.65,1.66,1.65,1.66,1.65,1.65,1.65,1.66,1.65,1.65,1.66,1.65,1.65,1.66,1.65,1.66,1.66,1.66,1.65,1.65,1.66,1.65,1.66,1.65,1.65,1.65,1.66;
1,21,41,61,81,101,121,141,161,181,201,221,241,261,281,301,321,341,361,381,401,421,441,461,481,501,521,541,561,581,601,621,641,661,681,701,721,741,761,781,801,821,841,861,881,901,921,941,961,981,1001,1021,1041,1061,1081,1101,1121,1141,1161,1181,1201,1221,1241,1261,1281,1301,1321,1341,1361,1381,1401,1421,1441,1461,1481,1501,1521,1541,1561,1581,1601,1621,1641,1661,1681,1701,1721,1741,1761,1781,1801,1821,1841,1861,1881,1901,1921,1941,1961,1981,2001,2021,2041,2061,2081,2101,2121,2141,2161,2181,2201,2221,2241,2261,2281,2301,2321,2341,2361,2381,2401,2421,2441,2461,2481,2501,2521,2541,2561,2581,2601,2621,2641,2661,2681,2701,2721,2741,2761,2781,2801,2821,2841,2861,2881,2901,2921,2941,2961,2981,3001,3021,3041,3061,3081,3101,3121,3141,3161,3181,3201,3221,3241,3261,3281,3301,3321,3341,3361,3381,3401,3421,3441,3461,3481,3501,3521,3541,3561,3581,3601,3621,3641,3661,3681,3701,3721,3741,3761,3781,3801,3821,3841,3861,3881,3901,3921,3941,3961,3981,4001,4021,4041,4061,4081,4101,4121,4141,4161,4181,4201,4221,4241,4261,4281,4301,4321,4341,4361,4381,4401,4421,4441,4461,4481,4501,4521,4541,4561,4581,4601,4621,4641,4661,4681,4701,4721,4741,4761,4781,4801,4821,4841,4861,4881,4901,4921,4941,4961,4981,5001,5021,5041,5061,5081,5101,5121,5141,5161,5181,5201,5221,5241,5261,5281,5301,5321,5341,5361,5381,5401,5421,5441,5461,5481,5501,5521,5541,5561,5581,5601,5621,5641,5661,5681,5701,5721,5741,5761,5781,5801,5821,5841,5861,5881,5901,5921,5941,5961,5981,6001,6021,6041,6061,6081,6101,6121,6141,6161,6181,6201,6221,6241,6261,6281,6301,6321,6341,6361,6381,6401,6421,6441,6461,6481,6501,6521,6541,6561,6581,6601,6621,6641,6661,6681,6701,6721,6741,6761,6781,6801,6821,6841,6861,6881,6901,6921,6941,6961,6981,7001,7021,7041,7061,7081,7101,7121,7141,7161,7181,7201,7221,7241,7261,7281,7301,7321,7341,7361,7381,7401,7421,7441,7461,7481,7501,7521,7541,7561,7581,7601,7621,7641,7661,7681,7701,7721,7741,7761,7781,7801,7821,7841,7861,7881,7901,7921,7941,7961,7981,8001,8021,8041,8061,8081,8101,8121,8141,8161,8181,8201,8221,8241,8261,8281,8301,8321,8341,8361,8381,8401,8421,8441,8461,8481,8501,8521,8541,8561,8581,8601,8621,8641,8661,8681,8701,8721,8741,8761,8781,8801,8821,8841,8861,8881,8901,8921,8941,8961,8981,9001,9021,9041,9061,9081,9101,9121,9141,9161,9181,9201,9221,9241,9261,9281,9301,9321,9341,9361,9381,9401,9421,9441,9461,9481,9501,9521,9541,9561,9581,9601,9621,9641,9661,9681,9701,9721,9741,9761,9781,9801,9821,9841,9861,9881,9901,9921,9941,9961,9981
